dim,s,time,sampled,sieved,compared,num_short
45,1000,254.474,3618,340529,2450582876,65
46,10,114.086,4236,127111,1076163594,34
46,100,237.362,4087,263631,2206484799,0
46,1000,365.108,4207,403880,3367106051,8
47,10,164.44,4833,149655,1474271070,12
47,100,333.663,4825,313472,3051459345,93
47,1000,497.026,4785,475154,4583409286,3
48,10,279.945,5563,176551,2017841351,81
48,100,573.335,5542,368859,4159507172,2
48,1000,888.745,5567,566880,6391012247,11
49,10,392.589,6340,205018,2691518739,3
49,100,828.179,6391,435000,5676742521,87
49,1000,1288.248,6508,661560,8585920236,17
50,10,547.905,7461,244643,3747153657,93
50,100,1050.2,7404,513544,7778800870,24
50,1000,1430.415,7361,785036,11840773688,29
20,10,0.026,123,1624,312680,26
20,100,0.037,115,3146,601631,38
20,1000,0.055,111,4788,908787,32
21,10,0.028,130,1925,449670,10
21,100,0.05,130,3782,822995,40
21,1000,0.072,132,5467,1195186,2
22,10,0.036,147,2155,555308,13
22,100,0.071,153,4477,1130815,28
22,1000,0.104,140,6664,1671814,9
23,10,0.05,174,2533,757899,3
23,100,0.098,151,5497,1564349,42
23,1000,0.137,159,7894,2210859,46
24,10,0.07,190,3120,1031274,48
24,100,0.134,191,6201,2061479,48
24,1000,0.201,191,9421,3109903,48
25,10,0.1,223,3824,1475351,44
25,100,0.188,230,7388,2871102,5
25,1000,0.268,209,10956,4131793,3
26,10,0.141,263,4514,2031775,52
26,100,0.265,248,8877,3904637,2
26,1000,0.394,249,13164,5869161,4
27,10,0.19,284,5282,2743958,44
27,100,0.382,297,10777,5633138,52
27,1000,0.548,268,15910,8130389,54
28,10,0.26,319,5986,3673497,0
28,100,0.504,320,12400,7249816,52
28,1000,0.782,348,19080,11274182,19
29,10,0.352,350,7219,4942112,53
29,100,0.7,371,14705,9966739,56
29,1000,1.064,380,22331,15206499,50
30,10,0.534,455,8904,7245028,54
30,100,1.028,419,17958,14131201,38
30,1000,1.518,426,26600,20928913,8
31,10,0.729,497,10515,9800290,52
31,100,1.377,472,20679,18674940,55
31,1000,2.803,479,30900,27856160,34
32,10,1.036,592,12479,13445428,64
32,100,1.996,567,24685,26114529,62
32,1000,2.997,577,37390,39290688,59
33,10,1.394,626,14360,17699865,32
33,100,2.883,638,29923,36973499,64
33,1000,4.212,649,44468,54097214,66
34,10,2.036,778,17370,25167973,57
34,100,4.083,745,35638,50807699,67
34,1000,6.023,744,53202,75163385,65
35,10,2.857,898,20730,35116109,61
35,100,5.469,839,41212,67581786,68
35,1000,8.164,890,61859,100915387,6
36,10,3.72,928,23542,44752926,64
36,100,7.837,999,49515,94343402,65
36,1000,11.625,987,73762,140361448,9
37,10,5.479,1116,28594,64720895,5
37,100,10.807,1135,58105,128059107,15
37,1000,16.656,1179,89046,197368724,73
38,10,7.889,1286,33686,87558752,60
38,100,15.746,1312,68260,175150487,4
38,1000,23.845,1308,104299,265014008,76
39,10,10.391,1538,39130,117888429,25
39,100,21.032,1463,81062,239630712,74
39,1000,31.77,1458,122615,361327795,28
40,10,14.556,1740,46713,162027653,79
40,100,29.819,1754,96634,332468906,63
40,1000,45.55,1797,147988,508733995,65
41,10,19.688,2069,54202,215098758,78
41,100,42.359,2063,115054,463299788,4
41,1000,62.903,1984,173625,688102745,78
42,10,28.441,2348,65035,303525257,74
42,100,57.977,2273,134403,619708155,78
42,1000,92.301,2414,205249,946023278,6
43,10,41.401,2661,76793,416523911,19
43,100,82.601,2698,159488,855447147,3
43,1000,124.852,2612,243132,1292921475,82
44,10,58.531,3163,90594,575108273,1
44,100,118.167,3104,189285,1181143328,6
44,1000,177.842,3098,286995,1774507965,75
45,10,80.239,3592,107681,786981930,84
45,100,166.505,3604,224546,1624495135,85
45,1000,251.553,3615,339128,2430050590,87
46,10,113.521,4210,126893,1074276711,87
46,100,236.285,4227,264374,2213987231,4
46,1000,361.756,4047,401831,3350827406,0
47,10,163.877,4867,149008,1464081375,90
