n, s, t1, max1, lsq1, t2, max2, lsq2, t3, max3, lsq3, t4, max4, lsq4, t5, max5, lsq5, t6, max6, lsq6, t7, max7, lsq7, t8, max8, lsq8, t9, max9, lsq9, t10, max10, lsq10
128,1000,2.738188028,1499,15255725,10.12933493,6,164,27.92099977,4,76,21.03556418,4,67,25.4465518,3,1,,,,,,,,,,,,,,,
128,1000,2.769272566,1597,14487231,10.0778265,6,114,24.57593012,4,87,24.09494662,4,51,14.70961761,3,54,23.77202153,3,1,,,,,,,,,,,,
128,1000,2.757160902,1601,14532913,10.27199125,5,114,14.60406303,4,94,31.04925513,4,58,12.44189978,3,52,16.48062277,3,47,62.40957856,1,1,,,,,,,,,
128,1000,2.750346899,1677,14194250,10.15581489,6,121,20.53789306,5,86,23.65372682,3,56,14.62956858,3,52,13.07052279,3,51,31.51355314,3,1,,,,,,,,,
128,1000,2.796342611,1484,13635565,10.15600157,6,141,25.63157964,4,63,12.69923711,4,70,27.18147063,3,55,21.43688083,3,1,,,,,,,,,,,,
128,1000,2.797635794,1554,14810339,10.19622445,5,108,17.34982061,4,77,37.41506815,4,1,,,,,,,,,,,,,,,,,,
128,1000,2.755735397,1454,14004013,10.15677929,5,151,34.33180094,4,76,18.17361593,3,55,19.29371595,3,52,7.677748919,3,51,7.756127834,3,1,,,,,,,,,
128,1000,2.752454042,1554,14316516,10.37997365,6,164,29.22508097,4,72,16.80028892,3,60,6.705696106,3,59,21.08986139,3,38,9.908772945,3,46,24.78111696,3,1,,,,,,
128,1000,2.762836695,1631,15151311,10.20497036,7,198,31.19998503,4,73,17.97732115,4,47,29.86582947,3,46,4.753305197,3,48,21.3169167,3,43,56.33072019,1,1,,,,,,
128,1000,3.220481873,1613,14319799,9.511610031,6,123,23.61214662,4,79,11.79572344,4,70,19.68418717,3,56,19.42303681,3,1,,,,,,,,,,,,
128,1000,2.811515808,1650,15439811,10.18554783,6,138,21.4758563,4,89,13.60913563,4,61,35.11279893,3,50,4.793369532,3,1,,,,,,,,,,,,
128,1000,2.842564344,1614,13678172,10.27264786,7,150,30.49336481,4,58,27.62507439,3,53,8.868802071,3,41,9.423317432,3,41,23.86833978,3,1,,,,,,,,,
128,1000,3.147451878,1653,15106830,10.38177252,6,144,23.35278034,4,74,21.17826819,3,62,17.75187349,3,55,15.01859164,3,1,,,,,,,,,,,,
128,1000,2.861246347,1734,14592801,10.27591348,6,148,17.77594638,4,84,28.1020987,3,56,15.09791493,3,54,9.862283468,3,49,0.53576088,3,52,23.15061808,3,1,,,,,,
128,1000,2.837179661,1612,13633948,10.2408154,5,122,29.85838032,4,70,17.97597766,4,61,27.2769227,3,1,,,,,,,,,,,,,,,
128,1000,2.890590668,1606,14208488,10.14981151,6,131,20.34084749,4,74,20.3989222,3,69,21.15319014,3,45,35.7426455,3,1,,,,,,,,,,,,
128,1000,2.899013519,1539,14445239,10.41328406,6,172,14.31874895,6,107,37.4839294,3,58,20.07344484,3,57,13.52003884,3,44,26.13209677,3,1,,,,,,,,,
128,1000,2.838022947,1694,15683074,10.26184893,6,171,25.497365,4,68,19.8403306,4,1,,,,,,,,,,,,,,,,,,
128,1000,2.85108614,1719,13061526,10.17824674,6,152,31.94671631,4,78,18.33118773,3,1,,,,,,,,,,,,,,,,,,
128,1000,2.893141031,1564,14158985,10.46203899,6,140,22.72436547,4,70,12.71664286,3,70,44.69057655,4,1,,,,,,,,,,,,,,,
